"PRICING RULE DEFINITION","Pricing Rule : ","Disc","Price","T","Changed By :","REYNOLD-K1","Auto Analysis Down :","T","Changed On :","10/23/2018","Item","Discount %","Price","Analysis : ACID-TITRA","0.00","16.90","12/4/2018  4:17:13PM","","Page 1 of 1"
"PRICING RULE DEFINITION","Analysis : ACID-VALUE","0.00","54.32","12/4/2018  4:17:13PM","","Page 1 of 1"
"PRICING RULE DEFINITION","Analysis : AFLA-LC-BG","0.00","59.67","12/4/2018  4:17:13PM","","Page 1 of 1"
"PRICING RULE DEFINITION","Analysis : AFLAT-HPLC","0.00","59.67","12/4/2018  4:17:13PM","","Page 1 of 1"
"PRICING RULE DEFINITION","Analysis : AFLATX-VIC","0.00","34.81","12/4/2018  4:17:13PM","","Page 1 of 1"
"PRICING RULE DEFINITION","Analysis : ALLERG-MLK","0.00","55.00","12/4/2018  4:17:13PM","","Page 1 of 1"
"PRICING RULE DEFINITION","Analysis : ALLERGPNUT","0.00","55.00","12/4/2018  4:17:13PM","","Page 1 of 1"
"PRICING RULE DEFINITION","Analysis : AMINO-CMPL","0.00","288.64","12/4/2018  4:17:13PM","","Page 1 of 1"
"PRICING RULE DEFINITION","Analysis : AMINOGLYCO","0.00","311.00","12/4/2018  4:17:13PM","","Page 1 of 1"
"PRICING RULE DEFINITION","Analysis : AMINO-SCOR","0.00","89.50","12/4/2018  4:17:13PM","","Page 1 of 1"
"PRICING RULE DEFINITION","Analysis : ANAPC","0.00","17.55","12/4/2018  4:17:13PM","","Page 1 of 1"
"PRICING RULE DEFINITION","Analysis : ANTIMON-MS","0.00","30.33","12/4/2018  4:17:13PM","","Page 1 of 1"
"PRICING RULE DEFINITION","Analysis : APC","0.00","5.22","12/4/2018  4:17:13PM","","Page 1 of 1"
"PRICING RULE DEFINITION","Analysis : APC-AIR-C","0.00","3.23","12/4/2018  4:17:13PM","","Page 1 of 1"
"PRICING RULE DEFINITION","Analysis : APC-HETERO","0.00","9.95","12/4/2018  4:17:13PM","","Page 1 of 1"
"PRICING RULE DEFINITION","Analysis : APC-PETRI","0.00","5.22","12/4/2018  4:17:13PM","","Page 1 of 1"
"PRICING RULE DEFINITION","Analysis : ARSENIC-MS","0.00","26.66","12/4/2018  4:17:13PM","","Page 1 of 1"
"PRICING RULE DEFINITION","Analysis : ASH","0.00","15.11","12/4/2018  4:17:13PM","","Page 1 of 1"
"PRICING RULE DEFINITION","Analysis : BARIUM-MS","0.00","29.17","12/4/2018  4:17:13PM","","Page 1 of 1"
"PRICING RULE DEFINITION","Analysis : BCEREUSPRE","0.00","12.43","12/4/2018  4:17:13PM","","Page 1 of 1"
"PRICING RULE DEFINITION","Analysis : BHA-T-TBHQ","0.00","249.51","12/4/2018  4:17:13PM","","Page 1 of 1"
"PRICING RULE DEFINITION","Analysis : BRIX","0.00","13.43","12/4/2018  4:17:13PM","","Page 1 of 1"
"PRICING RULE DEFINITION","Analysis : CADMIUM-MS","0.00","26.66","12/4/2018  4:17:13PM","","Page 1 of 1"
"PRICING RULE DEFINITION","Analysis : CAFFEINE","0.00","130.44","12/4/2018  4:17:13PM","","Page 1 of 1"
"PRICING RULE DEFINITION","Analysis : CALCIU-ICP","0.00","10.63","12/4/2018  4:17:13PM","","Page 1 of 1"
"PRICING RULE DEFINITION","Analysis : CHLORINE","0.00","28.79","12/4/2018  4:17:13PM","","Page 1 of 1"
"PRICING RULE DEFINITION","Analysis : CHLORIN-TR","0.00","33.81","12/4/2018  4:17:13PM","","Page 1 of 1"
"PRICING RULE DEFINITION","Analysis : CHOLESTERO","0.00","100.58","12/4/2018  4:17:13PM","","Page 1 of 1"
"PRICING RULE DEFINITION","Analysis : CHROMIU-MS","0.00","29.17","12/4/2018  4:17:13PM","","Page 1 of 1"
"PRICING RULE DEFINITION","Analysis : COLI-HGMF","0.00","8.93","12/4/2018  4:17:13PM","","Page 1 of 1"
"PRICING RULE DEFINITION","Analysis : COLILERTPA","0.00","25.99","12/4/2018  4:17:13PM","","Page 1 of 1"
"PRICING RULE DEFINITION","Analysis : COLI-MPN3","0.00","5.72","12/4/2018  4:17:13PM","","Page 1 of 1"
"PRICING RULE DEFINITION","Analysis : COLI-MPN5","0.00","7.22","12/4/2018  4:17:13PM","","Page 1 of 1"
"PRICING RULE DEFINITION","Analysis : COLI-MPNW","0.00","8.70","12/4/2018  4:17:13PM","","Page 1 of 1"
"PRICING RULE DEFINITION","Analysis : COLI-PETRI","0.00","7.14","12/4/2018  4:17:13PM","","Page 1 of 1"
"PRICING RULE DEFINITION","Analysis : COLI-VRB","0.00","6.71","12/4/2018  4:17:13PM","","Page 1 of 1"
"PRICING RULE DEFINITION","Analysis : COPPER-MS","0.00","29.17","12/4/2018  4:17:13PM","","Page 1 of 1"
"PRICING RULE DEFINITION","Analysis : CPERFPRE","0.00","17.95","12/4/2018  4:17:13PM","","Page 1 of 1"
"PRICING RULE DEFINITION","Analysis : EBDC-ETU","0.00","221.32","12/4/2018  4:17:13PM","","Page 1 of 1"
"PRICING RULE DEFINITION","Analysis : ECBXRT-25","0.00","24.28","12/4/2018  4:17:13PM","","Page 1 of 1"
"PRICING RULE DEFINITION","Analysis : EC-C-PETRI","0.00","7.45","12/4/2018  4:17:13PM","","Page 1 of 1"
"PRICING RULE DEFINITION","Analysis : EC-MP-25","0.00","24.38","12/4/2018  4:17:13PM","","Page 1 of 1"
"PRICING RULE DEFINITION","Analysis : EC-MPN3","0.00","5.72","12/4/2018  4:17:13PM","","Page 1 of 1"
"PRICING RULE DEFINITION","Analysis : EC-MPNW","0.00","8.70","12/4/2018  4:17:13PM","","Page 1 of 1"
"PRICING RULE DEFINITION","Analysis : EC-PETRI","0.00","6.96","12/4/2018  4:17:13PM","","Page 1 of 1"
"PRICING RULE DEFINITION","Analysis : ENTBACT-PF","0.00","8.45","12/4/2018  4:17:13PM","","Page 1 of 1"
"PRICING RULE DEFINITION","Analysis : ENTBCEAE","0.00","12.80","12/4/2018  4:17:13PM","","Page 1 of 1"
"PRICING RULE DEFINITION","Analysis : FAT-BY-FAP","0.00","147.68","12/4/2018  4:17:13PM","","Page 1 of 1"
"PRICING RULE DEFINITION","Analysis : FAT-GC-C","0.00","144.79","12/4/2018  4:17:13PM","","Page 1 of 1"
"PRICING RULE DEFINITION","Analysis : FAT-MJ-FLT","0.00","21.88","12/4/2018  4:17:13PM","","Page 1 of 1"
"PRICING RULE DEFINITION","Analysis : FAT-MOJAPA","0.00","21.88","12/4/2018  4:17:13PM","","Page 1 of 1"
"PRICING RULE DEFINITION","Analysis : FAT-MOJO","0.00","21.88","12/4/2018  4:17:13PM","","Page 1 of 1"
"PRICING RULE DEFINITION","Analysis : FAT-MOJOAH","0.00","21.88","12/4/2018  4:17:13PM","","Page 1 of 1"
"PRICING RULE DEFINITION","Analysis : FFA-EXTRAC","0.00","33.81","12/4/2018  4:17:13PM","","Page 1 of 1"
"PRICING RULE DEFINITION","Analysis : HARDNESS","0.00","45.00","12/4/2018  4:17:13PM","","Page 1 of 1"
"PRICING RULE DEFINITION","Analysis : HETERLBMPN","0.00","27.92","12/4/2018  4:17:13PM","","Page 1 of 1"
"PRICING RULE DEFINITION","Analysis : HLAC-MPN","0.00","17.10","12/4/2018  4:17:13PM","","Page 1 of 1"
"PRICING RULE DEFINITION","Analysis : ICP-DRY","0.00","20.39","12/4/2018  4:17:13PM","","Page 1 of 1"
"PRICING RULE DEFINITION","Analysis : ICP-MICROW","0.00","20.39","12/4/2018  4:17:13PM","","Page 1 of 1"
"PRICING RULE DEFINITION","Analysis : ICPMS-HM","0.00","111.69","12/4/2018  4:17:13PM","","Page 1 of 1"
"PRICING RULE DEFINITION","Analysis : ICPMS-PREP","0.00","41.09","12/4/2018  4:17:13PM","","Page 1 of 1"
"PRICING RULE DEFINITION","Analysis : ID-ECCTFA","100.00","0.00","12/4/2018  4:17:13PM","","Page 1 of 1"
"PRICING RULE DEFINITION","Analysis : ID-GENESEQ","0.00","201.38","12/4/2018  4:17:13PM","","Page 1 of 1"
"PRICING RULE DEFINITION","Analysis : IRON-ICP","0.00","10.63","12/4/2018  4:17:13PM","","Page 1 of 1"
